iter	RMSE
0	7.567778951
1	7.345535467
2	7.130056893
3	6.920988535
4	6.718559955
5	6.522358924
6	6.332223053
7	6.1479346
8	5.969356221
9	5.796238307
10	5.628543896
11	5.466076124
12	5.3086693
13	5.156177986
14	5.008396175
15	4.865280664
16	4.726361086
17	4.59205679
18	4.461956395
19	4.336043396
20	4.21419192
21	4.096212266
22	3.981819487
23	3.871304185
24	3.764362524
25	3.660299878
26	3.560179008
27	3.463329206
28	3.369432751
29	3.278846364
30	3.190842018
31	3.106179258
32	3.023917369
33	2.944629609
34	2.868059602
35	2.793696888
36	2.722426516
37	2.652984154
38	2.586029171
39	2.52115234
40	2.458547698
41	2.398689606
42	2.341063937
43	2.285586875
44	2.231700516
45	2.179779989
46	2.130172566
47	2.08196908
48	2.03517011
49	1.990700939
50	1.947387249
51	1.905872025
52	1.865927592
53	1.827405944
54	1.790412687
55	1.754945534
56	1.721089006
57	1.688697524
58	1.657935572
59	1.627699323
60	1.599167535
61	1.571518312
62	1.544953339
63	1.519712075
64	1.495281656
65	1.472002724
66	1.449624284
67	1.428543029
68	1.408808958
69	1.389307274
70	1.370294045
71	1.352303415
72	1.335535954
73	1.319108455
74	1.303541346
75	1.289048709
76	1.274970952
77	1.261623348
78	1.248644109
79	1.236364815
80	1.224850309
81	1.214178253
82	1.203690127
83	1.19372445
84	1.184175813
85	1.175091955
86	1.166431252
87	1.158292059
88	1.150679368
89	1.143178384
90	1.136157597
91	1.129575893
92	1.123358344
93	1.117616284
94	1.111735981
95	1.106217821
96	1.100941738
97	1.095814082
98	1.090842382
99	1.086226074
100	1.081855942
101	1.077709964
102	1.073720073
103	1.069958499
104	1.066425587
105	1.062743137
106	1.059408815
107	1.056140561
108	1.052991567
109	1.050155341
110	1.047355347
111	1.044758589
112	1.042360067
113	1.040049362
114	1.037835558
115	1.035719559
116	1.033788338
117	1.031884149
118	1.02999844
119	1.028322227
120	1.02663858
121	1.025057726
122	1.023646438
123	1.022278304
124	1.02101379
125	1.019753526
126	1.0185209
127	1.017443582
128	1.016392676
129	1.015410054
130	1.014367807
131	1.013497413
132	1.012517893
133	1.011710696
134	1.010839541
135	1.010047608
136	1.009310868
137	1.008606609
138	1.007918193
139	1.007231199
140	1.006547727
141	1.00595928
142	1.005408288
143	1.004916131
144	1.004386412
145	1.003842357
146	1.00335893
147	1.002875511
148	1.002410943
